scenario,controller,seed,avg_queue,avg_wait_s,avg_travel_s,throughput,backlog,switches
single,Fixed-time,1000,7.159166666666667,12.062146892655367,48.69915254237288,678,0,0
single,Fixed-time,1001,7.068333333333333,12.098995695839312,49.0,666,0,0
single,Fixed-time,1002,6.6525,11.71386430678466,48.57227138643068,650,0,0
single,Fixed-time,1003,6.5475,11.864741641337385,48.38145896656535,626,0,0
single,Fixed-time,1004,7.259166666666666,12.57764876632801,49.07837445573295,654,0,0
single,Fixed-time,1005,6.3275,11.737169517884915,48.129082426127525,623,0,0
single,Fixed-time,1006,6.989166666666667,11.992805755395683,48.57697841726619,660,0,0
single,Fixed-time,1007,6.505833333333333,12.102964118564742,48.69266770670827,622,0,0
single,Fixed-time,1008,7.208333333333333,12.652941176470588,49.523529411764706,649,1,0
single,Fixed-time,1009,6.881666666666667,11.806034482758621,48.64224137931034,670,0,0
single,Actuated,1000,2.7075,4.535310734463277,40.029661016949156,690,0,0
single,Actuated,1001,2.4491666666666667,4.177905308464849,39.92252510760402,678,0,0
single,Actuated,1002,2.4116666666666666,4.21976401179941,39.817109144542776,659,0,0
single,Actuated,1003,2.2158333333333333,3.986322188449848,39.296352583586625,627,0,0
single,Actuated,1004,2.4833333333333334,4.285921625544267,39.66328011611031,669,0,0
single,Actuated,1005,2.0833333333333335,3.842923794712286,39.157076205287716,619,0,0
single,Actuated,1006,2.5316666666666667,4.330935251798561,39.77553956834532,671,0,0
single,Actuated,1007,2.444166666666667,4.505460218408737,39.73166926677067,626,0,0
single,Actuated,1008,2.0308333333333333,3.541176470588235,39.15147058823529,655,1,0
single,Actuated,1009,2.4608333333333334,4.186781609195402,39.958333333333336,676,0,0
single,Random,1000,3.9616666666666664,6.653954802259887,43.759887005649716,687,0,70
single,Random,1001,3.2333333333333334,5.51793400286944,41.91965566714491,664,0,68
single,Random,1002,4.465833333333333,7.851032448377581,45.091445427728615,649,0,69
single,Random,1003,3.8583333333333334,7.01063829787234,43.69604863221885,632,0,66
single,Random,1004,4.339166666666666,7.518142235123367,44.3933236574746,658,0,67
single,Random,1005,4.964166666666666,9.216174183514774,46.864696734059095,622,0,67
single,Random,1006,4.445833333333334,7.6244604316546765,44.753956834532374,667,0,70
single,Random,1007,3.4141666666666666,6.336973478939157,42.55382215288611,623,0,63
single,Random,1008,6.5125,11.441176470588236,50.35735294117647,652,1,62
single,Random,1009,4.37,7.487068965517241,44.62068965517241,674,0,64
single,Q-learning (untrained),1000,11.049166666666666,18.65819209039548,56.13135593220339,683,0,19
single,Q-learning (untrained),1001,10.056666666666667,17.23816355810617,54.26255380200861,669,0,19
single,Q-learning (untrained),1002,9.579166666666667,16.870206489675518,53.998525073746315,658,0,19
single,Q-learning (untrained),1003,9.45,17.14741641337386,53.83738601823708,631,0,19
single,Q-learning (untrained),1004,9.580833333333333,16.612481857764877,53.18867924528302,668,0,19
single,Q-learning (untrained),1005,9.200833333333334,17.104199066874028,53.61741835147745,618,0,19
single,Q-learning (untrained),1006,10.763333333333334,18.503597122302157,55.71079136690648,667,0,19
single,Q-learning (untrained),1007,9.1025,16.953198127925116,53.38221528861155,619,0,19
single,Q-learning (untrained),1008,9.785833333333333,17.19264705882353,54.02205882352941,653,1,19
single,Q-learning (untrained),1009,9.405833333333334,16.1566091954023,53.17097701149425,672,0,19
single,Q-learning (trained),1000,2.1725,3.6271186440677967,39.548022598870055,688,0,80
single,Q-learning (trained),1001,2.160833333333333,3.662840746054519,39.51219512195122,678,0,72
single,Q-learning (trained),1002,2.2133333333333334,3.8672566371681416,39.43362831858407,658,0,74
single,Q-learning (trained),1003,1.9225,3.4498480243161094,38.7112462006079,633,0,72
single,Q-learning (trained),1004,2.0625,3.548621190130624,39.04354136429608,670,0,73
single,Q-learning (trained),1005,1.915,3.52099533437014,38.81181959564541,618,0,70
single,Q-learning (trained),1006,2.180833333333333,3.6877697841726618,39.280575539568346,671,0,78
single,Q-learning (trained),1007,1.7583333333333333,3.2527301092043683,38.609984399375975,625,0,73
single,Q-learning (trained),1008,1.9025,3.315712187958884,38.55800293685756,655,0,73
single,Q-learning (trained),1009,2.033333333333333,3.4669540229885056,39.01293103448276,674,0,74
single,DQN (untrained),1000,2.3758333333333335,3.980225988700565,40.55790960451977,686,0,92
single,DQN (untrained),1001,2.295,3.9167862266857965,40.37159253945481,678,0,92
single,DQN (untrained),1002,1.97,3.4549483013293942,39.54209748892171,659,1,92
single,DQN (untrained),1003,2.131666666666667,3.858662613981763,40.28267477203647,633,0,92
single,DQN (untrained),1004,2.09,3.611030478955007,39.68214804063861,663,0,92
single,DQN (untrained),1005,2.055,3.7807153965785383,39.818040435458784,620,0,92
single,DQN (untrained),1006,1.9683333333333333,3.3654676258992806,39.16402877697842,669,0,92
single,DQN (untrained),1007,1.9625,3.628125,39.6875,625,1,92
single,DQN (untrained),1008,1.9766666666666666,3.4552129221732746,39.47577092511013,656,0,92
single,DQN (untrained),1009,2.1975,3.7528735632183907,40.189655172413794,677,0,92
single,DQN (trained),1000,2.1491666666666664,3.5861581920903953,39.39124293785311,687,0,78
single,DQN (trained),1001,1.86,3.1664275466284075,38.718794835007174,675,0,74
single,DQN (trained),1002,1.8708333333333333,3.2610619469026547,38.634218289085545,657,0,74
single,DQN (trained),1003,1.8483333333333334,3.325227963525836,38.52887537993921,632,0,72
single,DQN (trained),1004,1.9691666666666667,3.3802612481857763,38.853410740203195,664,0,74
single,DQN (trained),1005,1.705,3.124416796267496,38.30482115085537,619,0,74
single,DQN (trained),1006,1.7975,3.050359712230216,38.47913669064748,671,0,80
single,DQN (trained),1007,1.8258333333333334,3.3650546021840873,38.708268330733226,623,0,77
single,DQN (trained),1008,1.7325,3.0205882352941176,38.186764705882354,654,1,72
single,DQN (trained),1009,2.0416666666666665,3.4770114942528734,39.258620689655174,677,0,76
corridor,Fixed-time,1000,8.146666666666667,16.298157453936348,81.17922948073702,571,0,0
corridor,Fixed-time,1001,7.649166666666667,15.888695652173913,81.40869565217392,548,0,0
corridor,Fixed-time,1002,7.2525,15.474060822898032,78.91413237924866,533,0,0
corridor,Fixed-time,1003,7.928333333333334,17.12115732368897,82.08679927667269,524,0,0
corridor,Fixed-time,1004,7.234166666666667,15.355871886120996,78.7135231316726,524,0,0
corridor,Fixed-time,1005,7.175833333333333,15.393884892086332,79.06115107913669,524,0,0
corridor,Fixed-time,1006,7.928333333333334,15.778333333333334,77.195,559,0,0
corridor,Fixed-time,1007,7.553333333333334,16.007104795737124,80.5595026642984,539,0,0
corridor,Fixed-time,1008,7.4075,16.651600753295668,83.29190207156309,499,0,0
corridor,Fixed-time,1009,8.266666666666667,16.904109589041095,83.45034246575342,562,0,0
corridor,Actuated,1000,1.9408333333333334,3.8609715242881073,68.26633165829146,570,0,0
corridor,Actuated,1001,1.7691666666666668,3.6469565217391304,68.31304347826087,542,0,0
corridor,Actuated,1002,1.7391666666666667,3.6815742397137745,66.5169946332737,533,0,0
corridor,Actuated,1003,1.6208333333333333,3.484629294755877,67.84267631103074,525,0,0
corridor,Actuated,1004,1.4458333333333333,3.0444839857651247,65.73665480427046,521,0,0
corridor,Actuated,1005,1.45,3.0953237410071943,65.98561151079137,522,0,0
corridor,Actuated,1006,1.8308333333333333,3.631666666666667,64.38166666666666,561,0,0
corridor,Actuated,1007,1.6091666666666666,3.3854351687388986,66.86678507992895,536,0,0
corridor,Actuated,1008,1.5866666666666667,3.544256120527307,69.16572504708098,506,0,0
corridor,Actuated,1009,2.046666666666667,4.169520547945205,69.6917808219178,560,0,0
corridor,Random,1000,4.025,8.046901172529314,73.25795644891122,570,0,138
corridor,Random,1001,4.005,8.318260869565217,75.07826086956521,544,0,135
corridor,Random,1002,3.6858333333333335,7.853046594982079,71.92652329749104,529,1,134
corridor,Random,1003,3.4008333333333334,7.329113924050633,72.87703435804701,526,0,132
corridor,Random,1004,4.2575,9.02491103202847,72.73843416370107,514,0,126
corridor,Random,1005,4.0216666666666665,8.629496402877697,73.4658273381295,526,0,132
corridor,Random,1006,4.191666666666666,8.315,70.69333333333333,545,0,134
corridor,Random,1007,4.0008333333333335,8.47424511545293,74.0728241563055,530,0,137
corridor,Random,1008,3.4466666666666668,7.743879472693032,74.9924670433145,496,0,136
corridor,Random,1009,3.4383333333333335,7.013698630136986,73.67123287671232,554,0,138
corridor,Independent QL (untrained),1000,10.325833333333334,20.678391959798994,84.9782244556114,566,0,38
corridor,Independent QL (untrained),1001,9.885,20.540869565217392,85.46434782608695,541,0,38
corridor,Independent QL (untrained),1002,10.361666666666666,22.13416815742397,84.41323792486583,526,0,38
corridor,Independent QL (untrained),1003,9.270833333333334,20.027124773960217,83.6130198915009,520,0,38
corridor,Independent QL (untrained),1004,10.044166666666667,21.3576512455516,83.51601423487544,514,0,38
corridor,Independent QL (untrained),1005,9.28,19.929856115107913,82.83453237410072,517,0,38
corridor,Independent QL (untrained),1006,9.4175,18.758333333333333,79.29166666666667,553,0,38
corridor,Independent QL (untrained),1007,9.266666666666667,19.653641207815276,83.08880994671404,533,0,38
corridor,Independent QL (untrained),1008,9.4925,21.35593220338983,87.1035781544256,497,0,38
corridor,Independent QL (untrained),1009,10.334166666666667,21.136986301369863,86.63698630136986,557,0,38
corridor,Independent QL (trained),1000,1.6658333333333333,3.3132328308207706,67.04690117252932,571,0,145
corridor,Independent QL (trained),1001,1.9016666666666666,3.937391304347826,68.66782608695652,544,0,149
corridor,Independent QL (trained),1002,1.5716666666666668,3.336314847942755,65.84078711985688,533,0,158
corridor,Independent QL (trained),1003,1.7291666666666667,3.7106690777576854,67.91681735985533,524,0,147
corridor,Independent QL (trained),1004,1.6875,3.5604982206405693,65.84875444839858,524,0,148
corridor,Independent QL (trained),1005,1.6466666666666667,3.5179856115107913,66.61330935251799,527,0,156
corridor,Independent QL (trained),1006,1.9091666666666667,3.785,64.58,557,0,147
corridor,Independent QL (trained),1007,1.6225,3.428063943161634,66.83836589698046,537,0,159
corridor,Independent QL (trained),1008,1.6141666666666667,3.6064030131826743,69.60075329566855,505,0,152
corridor,Independent QL (trained),1009,1.7208333333333334,3.506849315068493,67.85787671232876,558,0,156
corridor,Coordinated QL (untrained),1000,10.325833333333334,20.678391959798994,84.9782244556114,566,0,38
corridor,Coordinated QL (untrained),1001,9.885,20.540869565217392,85.46434782608695,541,0,38
corridor,Coordinated QL (untrained),1002,10.361666666666666,22.13416815742397,84.41323792486583,526,0,38
corridor,Coordinated QL (untrained),1003,9.270833333333334,20.027124773960217,83.6130198915009,520,0,38
corridor,Coordinated QL (untrained),1004,10.044166666666667,21.3576512455516,83.51601423487544,514,0,38
corridor,Coordinated QL (untrained),1005,9.28,19.929856115107913,82.83453237410072,517,0,38
corridor,Coordinated QL (untrained),1006,9.4175,18.758333333333333,79.29166666666667,553,0,38
corridor,Coordinated QL (untrained),1007,9.266666666666667,19.653641207815276,83.08880994671404,533,0,38
corridor,Coordinated QL (untrained),1008,9.4925,21.35593220338983,87.1035781544256,497,0,38
corridor,Coordinated QL (untrained),1009,10.334166666666667,21.136986301369863,86.63698630136986,557,0,38
corridor,Coordinated QL (trained),1000,2.5675,5.123953098827471,68.87939698492463,571,0,125
corridor,Coordinated QL (trained),1001,2.1683333333333334,4.485217391304348,69.06782608695652,546,0,131
corridor,Coordinated QL (trained),1002,2.0233333333333334,4.3076923076923075,67.26296958855099,528,0,140
corridor,Coordinated QL (trained),1003,1.9866666666666666,4.260397830018083,68.34358047016275,523,0,137
corridor,Coordinated QL (trained),1004,2.2616666666666667,4.770462633451957,67.23309608540926,524,0,127
corridor,Coordinated QL (trained),1005,1.875,3.9982014388489207,67.24820143884892,519,0,140
corridor,Coordinated QL (trained),1006,2.839166666666667,5.623333333333333,66.715,556,0,125
corridor,Coordinated QL (trained),1007,3.0283333333333333,6.4031971580817055,70.85079928952042,536,0,126
corridor,Coordinated QL (trained),1008,2.1441666666666666,4.7947269303201505,70.3653483992467,507,0,127
corridor,Coordinated QL (trained),1009,2.3625,4.811643835616438,70.45547945205479,564,0,139
corridor_heavy,Fixed-time,1000,13.883333333333333,19.400233372228705,86.2532088681447,808,0,0
corridor_heavy,Fixed-time,1001,13.404166666666667,19.035587188612098,86.5373665480427,794,0,0
corridor_heavy,Fixed-time,1002,12.7225,18.033175355450236,84.42772511848341,796,0,0
corridor_heavy,Fixed-time,1003,13.099166666666667,19.285362853628538,86.96555965559655,768,0,0
corridor_heavy,Fixed-time,1004,12.910833333333333,18.558223289315727,85.10684273709484,776,1,0
corridor_heavy,Fixed-time,1005,13.42,19.031990521327014,86.67298578199052,788,0,0
corridor_heavy,Fixed-time,1006,12.765,17.894613583138174,83.22482435597189,796,0,0
corridor_heavy,Fixed-time,1007,13.971666666666666,19.957040572792362,87.4856801909308,789,0,0
corridor_heavy,Fixed-time,1008,13.433333333333334,20.09625,88.81875,751,0,0
corridor_heavy,Fixed-time,1009,13.448333333333334,19.23058542413381,87.34886499402629,792,0,0
corridor_heavy,Actuated,1000,3.424166666666667,4.757292882147024,70.57642940490082,813,0,0
corridor_heavy,Actuated,1001,3.3033333333333332,4.66270783847981,70.7541567695962,795,1,0
corridor_heavy,Actuated,1002,2.9408333333333334,4.154211150652432,69.83155397390273,791,1,0
corridor_heavy,Actuated,1003,3.0633333333333335,4.4944649446494465,71.75768757687577,771,0,0
corridor_heavy,Actuated,1004,2.8408333333333333,4.052821128451381,69.69267707082832,777,1,0
corridor_heavy,Actuated,1005,3.525,4.979857819905213,71.97511848341232,790,0,0
corridor_heavy,Actuated,1006,4.054166666666666,5.659250585480094,70.52224824355972,798,0,0
corridor_heavy,Actuated,1007,3.255,4.628878281622912,70.58114558472553,782,0,0
corridor_heavy,Actuated,1008,3.235,4.82,72.55375,762,0,0
corridor_heavy,Actuated,1009,3.3091666666666666,4.712066905615293,72.07287933094385,789,0,0
corridor_heavy,Random,1000,6.648333333333333,9.271878646441074,76.86931155192532,812,0,138
corridor_heavy,Random,1001,7.81,11.09501187648456,80.92161520190024,793,1,135
