scenario,controller,seed,avg_queue,avg_wait_s,avg_travel_s,throughput,backlog,switches,avg_delay_s,max_delay_s
single,Fixed-time,1000,7.159166666666667,12.062146892655367,48.69915254237288,678,0,0,12.187853107344633,46.0
single,Fixed-time,1001,7.068333333333333,12.098995695839312,49.0,666,0,0,12.251076040172167,45.0
single,Fixed-time,1002,6.6525,11.71386430678466,48.57227138643068,650,0,0,11.839233038348082,46.0
single,Fixed-time,1003,6.5475,11.864741641337385,48.38145896656535,626,0,0,12.013677811550153,45.0
single,Fixed-time,1004,7.259166666666666,12.57764876632801,49.07837445573295,654,0,0,12.747460087082729,46.0
single,Fixed-time,1005,6.3275,11.737169517884915,48.129082426127525,623,0,0,11.892690513219284,46.0
single,Fixed-time,1006,6.989166666666667,11.992805755395683,48.57697841726619,660,0,0,12.179856115107913,44.0
single,Fixed-time,1007,6.505833333333333,12.102964118564742,48.69266770670827,622,0,0,12.22776911076443,44.0
single,Fixed-time,1008,7.208333333333333,12.652941176470588,49.523529411764706,649,1,0,12.784140969162996,46.0
single,Fixed-time,1009,6.881666666666667,11.806034482758621,48.64224137931034,670,0,0,11.969827586206897,47.0
single,Actuated,1000,2.7075,4.535310734463277,40.029661016949156,690,0,0,4.672316384180791,55.0
single,Actuated,1001,2.4491666666666667,4.177905308464849,39.92252510760402,678,0,0,4.3242467718794835,61.0
single,Actuated,1002,2.4116666666666666,4.21976401179941,39.817109144542776,659,0,0,4.364306784660767,52.0
single,Actuated,1003,2.2158333333333333,3.986322188449848,39.296352583586625,627,0,0,4.13677811550152,47.0
single,Actuated,1004,2.4833333333333334,4.285921625544267,39.66328011611031,669,0,0,4.445573294629899,44.0
single,Actuated,1005,2.0833333333333335,3.842923794712286,39.157076205287716,619,0,0,3.9922239502332815,38.0
single,Actuated,1006,2.5316666666666667,4.330935251798561,39.77553956834532,671,0,0,4.482014388489208,46.0
single,Actuated,1007,2.444166666666667,4.505460218408737,39.73166926677067,626,0,0,4.633385335413417,43.0
single,Actuated,1008,2.0308333333333333,3.541176470588235,39.15147058823529,655,1,0,3.68575624082232,37.0
single,Actuated,1009,2.4608333333333334,4.186781609195402,39.958333333333336,676,0,0,4.334770114942529,47.0
single,Random,1000,3.9616666666666664,6.653954802259887,43.759887005649716,687,0,70,6.778248587570621,34.0
single,Random,1001,3.2333333333333334,5.51793400286944,41.91965566714491,664,0,68,5.678622668579627,30.0
single,Random,1002,4.465833333333333,7.851032448377581,45.091445427728615,649,0,69,8.00589970501475,51.0
single,Random,1003,3.8583333333333334,7.01063829787234,43.69604863221885,632,0,66,7.121580547112462,37.0
single,Random,1004,4.339166666666666,7.518142235123367,44.3933236574746,658,0,67,7.679245283018868,59.0
single,Random,1005,4.964166666666666,9.216174183514774,46.864696734059095,622,0,67,9.370139968895801,63.0
single,Random,1006,4.445833333333334,7.6244604316546765,44.753956834532374,667,0,70,7.797122302158273,49.0
single,Random,1007,3.4141666666666666,6.336973478939157,42.55382215288611,623,0,63,6.461778471138846,39.0
single,Random,1008,6.5125,11.441176470588236,50.35735294117647,652,1,62,11.575624082232011,52.0
single,Random,1009,4.37,7.487068965517241,44.62068965517241,674,0,64,7.633620689655173,54.0
single,Q-learning (untrained),1000,11.049166666666666,18.65819209039548,56.13135593220339,683,0,19,18.81497175141243,64.0
single,Q-learning (untrained),1001,10.056666666666667,17.23816355810617,54.26255380200861,669,0,19,17.407460545193686,63.0
single,Q-learning (untrained),1002,9.579166666666667,16.870206489675518,53.998525073746315,658,0,19,17.039823008849556,63.0
single,Q-learning (untrained),1003,9.45,17.14741641337386,53.83738601823708,631,0,19,17.285714285714285,64.0
single,Q-learning (untrained),1004,9.580833333333333,16.612481857764877,53.18867924528302,668,0,19,16.772133526850507,63.0
single,Q-learning (untrained),1005,9.200833333333334,17.104199066874028,53.61741835147745,618,0,19,17.259720062208398,63.0
single,Q-learning (untrained),1006,10.763333333333334,18.503597122302157,55.71079136690648,667,0,19,18.676258992805757,64.0
single,Q-learning (untrained),1007,9.1025,16.953198127925116,53.38221528861155,619,0,19,17.09516380655226,63.0
single,Q-learning (untrained),1008,9.785833333333333,17.19264705882353,54.02205882352941,653,1,19,17.323054331864906,63.0
single,Q-learning (untrained),1009,9.405833333333334,16.1566091954023,53.17097701149425,672,0,19,16.316091954022987,64.0
single,Q-learning (trained),1000,2.0433333333333334,3.4180790960451977,39.13135593220339,687,0,80,3.542372881355932,42.0
single,Q-learning (trained),1001,1.9116666666666666,3.253945480631277,38.76757532281205,678,0,78,3.4031563845050217,32.0
single,Q-learning (trained),1002,2.04,3.5678466076696167,39.233038348082594,658,0,77,3.7123893805309733,61.0
single,Q-learning (trained),1003,1.8908333333333334,3.4027355623100304,38.75835866261398,631,0,78,3.560790273556231,27.0
single,Q-learning (trained),1004,2.2,3.7822931785195935,39.45863570391872,667,0,77,3.9448476052249637,62.0
single,Q-learning (trained),1005,1.855,3.3965785381026437,38.89891135303266,617,0,76,3.5645412130637637,57.0
single,Q-learning (trained),1006,1.945,3.2949640287769784,38.7294964028777,668,0,84,3.460431654676259,27.0
single,Q-learning (trained),1007,1.7916666666666667,3.294851794071763,38.737909516380654,622,0,81,3.4305772230889238,27.0
single,Q-learning (trained),1008,1.8875,3.2823529411764705,38.483823529411765,656,1,72,3.4273127753303965,46.0
single,Q-learning (trained),1009,1.8366666666666667,3.1278735632183907,38.8132183908046,675,0,80,3.278735632183908,35.0
single,DQN (untrained),1000,2.3758333333333335,3.980225988700565,40.55790960451977,686,0,92,4.110169491525424,19.0
single,DQN (untrained),1001,2.295,3.9167862266857965,40.37159253945481,678,0,92,4.086083213773314,23.0
single,DQN (untrained),1002,1.97,3.4549483013293942,39.54209748892171,659,1,92,3.589970501474926,20.0
single,DQN (untrained),1003,2.131666666666667,3.858662613981763,40.28267477203647,633,0,92,3.9711246200607904,21.0
single,DQN (untrained),1004,2.09,3.611030478955007,39.68214804063861,663,0,92,3.7677793904209,18.0
single,DQN (untrained),1005,2.055,3.7807153965785383,39.818040435458784,620,0,92,3.9362363919129084,17.0
single,DQN (untrained),1006,1.9683333333333333,3.3654676258992806,39.16402877697842,669,0,92,3.548201438848921,16.0
single,DQN (untrained),1007,1.9625,3.628125,39.6875,625,1,92,3.7457098283931356,16.0
single,DQN (untrained),1008,1.9766666666666666,3.4552129221732746,39.47577092511013,656,0,92,3.619676945668135,15.0
single,DQN (untrained),1009,2.1975,3.7528735632183907,40.189655172413794,677,0,92,3.9267241379310347,17.0
single,DQN (trained),1000,2.1425,3.5706214689265536,39.40112994350282,687,0,80,3.690677966101695,34.0
single,DQN (trained),1001,1.8833333333333333,3.1965566714490676,38.714490674318505,678,0,76,3.3385939741750357,39.0
single,DQN (trained),1002,1.7725,3.0988200589970503,38.432153392330385,659,0,77,3.243362831858407,42.0
single,DQN (trained),1003,1.8408333333333333,3.314589665653495,38.849544072948326,633,0,78,3.4164133738601823,26.0
single,DQN (trained),1004,1.95,3.346879535558781,38.97532656023222,668,0,79,3.48911465892598,36.0
single,DQN (trained),1005,1.8125,3.3297045101088645,38.530326594090205,621,0,78,3.4836702954898913,40.0
single,DQN (trained),1006,1.8341666666666667,3.1079136690647484,38.499280575539565,669,0,82,3.2532374100719426,27.0
single,DQN (trained),1007,1.6258333333333332,3.003120124804992,38.24804992199688,623,0,81,3.124804992199688,25.0
single,DQN (trained),1008,1.84,3.2058823529411766,38.794117647058826,656,1,76,3.356828193832599,44.0
single,DQN (trained),1009,1.8766666666666667,3.192528735632184,38.84626436781609,678,0,79,3.3405172413793105,34.0
corridor,Fixed-time,1000,8.146666666666667,16.298157453936348,81.17922948073702,571,0,0,16.41038525963149,46.0
corridor,Fixed-time,1001,7.649166666666667,15.888695652173913,81.40869565217392,548,0,0,15.994782608695653,45.0
corridor,Fixed-time,1002,7.2525,15.474060822898032,78.91413237924866,533,0,0,15.56350626118068,45.0
corridor,Fixed-time,1003,7.928333333333334,17.12115732368897,82.08679927667269,524,0,0,17.20614828209765,46.0
corridor,Fixed-time,1004,7.234166666666667,15.355871886120996,78.7135231316726,524,0,0,15.44306049822064,45.0
corridor,Fixed-time,1005,7.175833333333333,15.393884892086332,79.06115107913669,524,0,0,15.482014388489208,46.0
corridor,Fixed-time,1006,7.928333333333334,15.778333333333334,77.195,559,0,0,15.873333333333333,47.0
corridor,Fixed-time,1007,7.553333333333334,16.007104795737124,80.5595026642984,539,0,0,16.113676731793962,46.0
corridor,Fixed-time,1008,7.4075,16.651600753295668,83.29190207156309,499,0,0,16.717514124293785,53.0
corridor,Fixed-time,1009,8.266666666666667,16.904109589041095,83.45034246575342,562,0,0,16.981164383561644,86.0
corridor,Actuated,1000,1.9408333333333334,3.8609715242881073,68.26633165829146,570,0,0,3.9547738693467336,25.0
corridor,Actuated,1001,1.7691666666666668,3.6469565217391304,68.31304347826087,542,0,0,3.7304347826086954,20.0
corridor,Actuated,1002,1.7391666666666667,3.6815742397137745,66.5169946332737,533,0,0,3.7799642218246867,23.0
corridor,Actuated,1003,1.6208333333333333,3.484629294755877,67.84267631103074,525,0,0,3.5569620253164556,20.0
corridor,Actuated,1004,1.4458333333333333,3.0444839857651247,65.73665480427046,521,0,0,3.1441281138790034,21.0
corridor,Actuated,1005,1.45,3.0953237410071943,65.98561151079137,522,0,0,3.196043165467626,21.0
corridor,Actuated,1006,1.8308333333333333,3.631666666666667,64.38166666666666,561,0,0,3.7083333333333335,28.0
corridor,Actuated,1007,1.6091666666666666,3.3854351687388986,66.86678507992895,536,0,0,3.488454706927176,23.0
corridor,Actuated,1008,1.5866666666666667,3.544256120527307,69.16572504708098,506,0,0,3.615819209039548,19.0
corridor,Actuated,1009,2.046666666666667,4.169520547945205,69.6917808219178,560,0,0,4.25,23.0
corridor,Random,1000,4.025,8.046901172529314,73.25795644891122,570,0,138,8.130653266331658,42.0
corridor,Random,1001,4.005,8.318260869565217,75.07826086956521,544,0,135,8.403478260869566,50.0
corridor,Random,1002,3.6858333333333335,7.853046594982079,71.92652329749104,529,1,134,7.9445438282647585,55.0
corridor,Random,1003,3.4008333333333334,7.329113924050633,72.87703435804701,526,0,132,7.414104882459313,62.0
corridor,Random,1004,4.2575,9.02491103202847,72.73843416370107,514,0,126,9.128113879003559,55.0
corridor,Random,1005,4.0216666666666665,8.629496402877697,73.4658273381295,526,0,132,8.73021582733813,48.0
corridor,Random,1006,4.191666666666666,8.315,70.69333333333333,545,0,134,8.4,57.0
corridor,Random,1007,4.0008333333333335,8.47424511545293,74.0728241563055,530,0,137,8.566607460035524,42.0
corridor,Random,1008,3.4466666666666668,7.743879472693032,74.9924670433145,496,0,136,7.815442561205273,47.0
corridor,Random,1009,3.4383333333333335,7.013698630136986,73.67123287671232,554,0,138,7.090753424657534,40.0
corridor,Independent QL (untrained),1000,10.325833333333334,20.678391959798994,84.9782244556114,566,0,38,20.763819095477388,65.0
corridor,Independent QL (untrained),1001,9.885,20.540869565217392,85.46434782608695,541,0,38,20.631304347826088,64.0
corridor,Independent QL (untrained),1002,10.361666666666666,22.13416815742397,84.41323792486583,526,0,38,22.227191413237925,64.0
corridor,Independent QL (untrained),1003,9.270833333333334,20.027124773960217,83.6130198915009,520,0,38,20.11392405063291,64.0
corridor,Independent QL (untrained),1004,10.044166666666667,21.3576512455516,83.51601423487544,514,0,38,21.466192170818506,63.0
corridor,Independent QL (untrained),1005,9.28,19.929856115107913,82.83453237410072,517,0,38,20.02517985611511,63.0
corridor,Independent QL (untrained),1006,9.4175,18.758333333333333,79.29166666666667,553,0,38,18.851666666666667,63.0
corridor,Independent QL (untrained),1007,9.266666666666667,19.653641207815276,83.08880994671404,533,0,38,19.74600355239787,64.0
corridor,Independent QL (untrained),1008,9.4925,21.35593220338983,87.1035781544256,497,0,38,21.429378531073446,64.0
corridor,Independent QL (untrained),1009,10.334166666666667,21.136986301369863,86.63698630136986,557,0,38,21.210616438356166,63.0
corridor,Independent QL (trained),1000,1.8175,3.611390284757119,67.0820770519263,572,0,153,3.7219430485762146,24.0
corridor,Independent QL (trained),1001,1.8425,3.805217391304348,68.56,541,0,153,3.8904347826086956,28.0
corridor,Independent QL (trained),1002,1.56,3.3130590339892665,65.47406082289804,529,0,155,3.3917710196779964,32.0
corridor,Independent QL (trained),1003,1.615,3.461121157323689,67.32188065099457,522,0,147,3.546112115732369,35.0
corridor,Independent QL (trained),1004,1.5983333333333334,3.3647686832740216,65.2508896797153,524,0,148,3.4661921708185055,31.0
corridor,Independent QL (trained),1005,1.6041666666666667,3.435251798561151,66.67086330935251,524,0,155,3.5107913669064748,24.0
corridor,Independent QL (trained),1006,1.7,3.36,64.09166666666667,556,0,157,3.453333333333333,25.0
corridor,Independent QL (trained),1007,1.6741666666666666,3.5346358792184724,67.59147424511545,538,0,160,3.6323268206039074,25.0
corridor,Independent QL (trained),1008,1.5866666666666667,3.534839924670433,69.13370998116761,506,0,152,3.6064030131826743,27.0
corridor,Independent QL (trained),1009,1.5616666666666668,3.1763698630136985,67.95547945205479,559,0,157,3.2585616438356166,31.0
corridor,Coordinated QL (untrained),1000,10.325833333333334,20.678391959798994,84.9782244556114,566,0,38,20.763819095477388,65.0
corridor,Coordinated QL (untrained),1001,9.885,20.540869565217392,85.46434782608695,541,0,38,20.631304347826088,64.0
corridor,Coordinated QL (untrained),1002,10.361666666666666,22.13416815742397,84.41323792486583,526,0,38,22.227191413237925,64.0
corridor,Coordinated QL (untrained),1003,9.270833333333334,20.027124773960217,83.6130198915009,520,0,38,20.11392405063291,64.0
corridor,Coordinated QL (untrained),1004,10.044166666666667,21.3576512455516,83.51601423487544,514,0,38,21.466192170818506,63.0
corridor,Coordinated QL (untrained),1005,9.28,19.929856115107913,82.83453237410072,517,0,38,20.02517985611511,63.0
corridor,Coordinated QL (untrained),1006,9.4175,18.758333333333333,79.29166666666667,553,0,38,18.851666666666667,63.0
corridor,Coordinated QL (untrained),1007,9.266666666666667,19.653641207815276,83.08880994671404,533,0,38,19.74600355239787,64.0
corridor,Coordinated QL (untrained),1008,9.4925,21.35593220338983,87.1035781544256,497,0,38,21.429378531073446,64.0
corridor,Coordinated QL (untrained),1009,10.334166666666667,21.136986301369863,86.63698630136986,557,0,38,21.210616438356166,63.0
corridor,Coordinated QL (trained),1000,2.2558333333333334,4.494137353433836,68.76046901172529,570,0,132,4.603015075376884,61.0
corridor,Coordinated QL (trained),1001,2.1666666666666665,4.481739130434782,69.42434782608696,542,0,137,4.573913043478261,53.0
corridor,Coordinated QL (trained),1002,2.025,4.32078853046595,67.66129032258064,528,1,141,4.397137745974955,60.0
corridor,Coordinated QL (trained),1003,1.8783333333333334,4.039783001808318,68.02169981916818,524,0,135,4.124773960216999,62.0
corridor,Coordinated QL (trained),1004,1.9408333333333334,4.092526690391459,66.74377224199289,524,0,142,4.193950177935943,39.0
corridor,Coordinated QL (trained),1005,1.8625,3.976618705035971,67.41007194244604,526,0,144,4.053956834532374,47.0
corridor,Coordinated QL (trained),1006,2.2558333333333334,4.463333333333333,65.63,557,0,144,4.556666666666667,33.0
corridor,Coordinated QL (trained),1007,2.1191666666666666,4.460035523978686,68.6696269982238,540,0,139,4.547069271758437,56.0
corridor,Coordinated QL (trained),1008,2.0883333333333334,4.674199623352166,70.01883239171374,506,0,125,4.7419962335216574,54.0
corridor,Coordinated QL (trained),1009,1.865,3.7928082191780823,69.10102739726027,561,0,142,3.8698630136986303,42.0
corridor_heavy,Fixed-time,1000,13.883333333333333,19.400233372228705,86.2532088681447,808,0,0,19.55075845974329,72.0
corridor_heavy,Fixed-time,1001,13.404166666666667,19.035587188612098,86.5373665480427,794,0,0,19.16132858837485,64.0
corridor_heavy,Fixed-time,1002,12.7225,18.033175355450236,84.42772511848341,796,0,0,18.162322274881518,66.0
corridor_heavy,Fixed-time,1003,13.099166666666667,19.285362853628538,86.96555965559655,768,0,0,19.41820418204182,59.0
corridor_heavy,Fixed-time,1004,12.910833333333333,18.558223289315727,85.10684273709484,776,1,0,18.685851318944845,63.0
corridor_heavy,Fixed-time,1005,13.42,19.031990521327014,86.67298578199052,788,0,0,19.177725118483412,84.0
corridor_heavy,Fixed-time,1006,12.765,17.894613583138174,83.22482435597189,796,0,0,18.028103044496486,66.0
corridor_heavy,Fixed-time,1007,13.971666666666666,19.957040572792362,87.4856801909308,789,0,0,20.118138424821,66.0
corridor_heavy,Fixed-time,1008,13.433333333333334,20.09625,88.81875,751,0,0,20.21875,61.0
corridor_heavy,Fixed-time,1009,13.448333333333334,19.23058542413381,87.34886499402629,792,0,0,19.357228195937875,86.0
corridor_heavy,Actuated,1000,3.424166666666667,4.757292882147024,70.57642940490082,813,0,0,4.8938156359393234,36.0
corridor_heavy,Actuated,1001,3.3033333333333332,4.66270783847981,70.7541567695962,795,1,0,4.776986951364176,39.0
corridor_heavy,Actuated,1002,2.9408333333333334,4.154211150652432,69.83155397390273,791,1,0,4.273696682464455,32.0
corridor_heavy,Actuated,1003,3.0633333333333335,4.4944649446494465,71.75768757687577,771,0,0,4.610086100861008,42.0
corridor_heavy,Actuated,1004,2.8408333333333333,4.052821128451381,69.69267707082832,777,1,0,4.175059952038369,32.0
corridor_heavy,Actuated,1005,3.525,4.979857819905213,71.97511848341232,790,0,0,5.139810426540285,55.0
corridor_heavy,Actuated,1006,4.054166666666666,5.659250585480094,70.52224824355972,798,0,0,5.797423887587822,50.0
corridor_heavy,Actuated,1007,3.255,4.628878281622912,70.58114558472553,782,0,0,4.755369928400954,33.0
corridor_heavy,Actuated,1008,3.235,4.82,72.55375,762,0,0,4.96,42.0
corridor_heavy,Actuated,1009,3.3091666666666666,4.712066905615293,72.07287933094385,789,0,0,4.817204301075269,29.0
corridor_heavy,Random,1000,6.648333333333333,9.271878646441074,76.86931155192532,812,0,138,9.427071178529754,50.0
